LotArea,LotFrontage,MasVnrArea,SalePrice
5000,50,0,87000
10846,32,0,324000
11600,80,175,145250
6402,60,0,78000
8176,70,0,139000
10655,85,296,284000
8198,59,146,207000
9042,59,0,192000
14157,86,200,377426
9135,70,113,214000
14145,91,0,202500
12400,66,176,155000
14191,85,0,202900
8400,60,0,82000
8849,63,616,266000
2592,36,0,85000
6435,65,0,140200
2448,36,106,154000
20431,56,870,437154
7820,68,362,318061
9084,60,0,95000
8520,60,0,105900
8400,60,0,140000
11249,105,0,177500
4224,44,0,134000
6930,92,120,130000
12011,78,530,280000
7301,64,500,198500
1680,21,510,118000
10690,59,0,147000
9150,101,305,165000
7800,78,200,132000
17120,80,0,134432
7175,50,0,125000
10634,79,0,123000
8200,65,0,219500
8846,57,0,148000
11143,102,0,340000
11394,88,350,394432
8123,60,16,179000
5000,50,0,127000
7200,60,0,187750
9245,79,0,213500
9000,60,0,76000
3182,43,16,192000
8410,58,0,81000
7200,72,255,125000
9382,93,125,191000
12474,96,272,426000
8405,50,0,119000
12209,71,0,215000
10134,60,0,109000
9571,68,0,129000
7200,60,0,123000
7590,69,288,169500
8967,60,0,67000
8125,65,100,241000
14963,38,0,245500
8767,65,0,164990
10200,60,0,108000
12090,93,650,258000
10480,51,0,115000
15576,63,0,177000
14154,109,350,280000
10800,85,100,339750
9571,68,0,60000
34650,100,0,145000
8960,56,0,115000
11228,59,0,228000
8899,73,0,181134
7844,74,203,149500
22420,86,0,239000
8160,60,0,126000
8450,65,0,142000
7060,78,200,206300
21750,100,0,113000
9200,80,473,315000
9000,72,74,139000
3378,60,0,135000
8593,77,0,109008
6762,64,108,195400
11457,130,0,175000
1680,21,232,85400
5586,60,0,79900
1920,24,376,122500
10839,100,0,181000
1890,21,0,81000
10667,43,0,212000
4400,40,0,116000
6000,50,0,119000
4280,40,0,90350
12354,67,0,110000
15431,105,200,555000
12108,92,270,118000
6240,52,0,162900
3922,53,72,172500
8750,70,0,210000
9855,73,0,127500
16492,137,0,190000
8600,50,0,119500
6000,50,0,120000
5684,70,0,110000
70761,62,0,280000
9000,75,0,210000
9297,63,0,188000
9600,80,320,175500
4571,34,0,98000
8004,75,110,263435
7200,60,0,155000
8281,60,0,62383
11988,74,0,188700
8430,60,136,124000
10628,85,0,167000
9480,79,224,146500
11428,98,248,250000
9291,76,120,187000
11952,92,0,190000
3675,35,80,148000
14977,110,304,440000
5330,41,0,251000
8480,80,0,132500
13125,75,215,208900
13693,105,772,380000
10637,79,336,297000
5925,50,435,89471
16033,98,378,326000
11846,72,562,374000
2500,50,0,155000
4500,32,116,164000
9600,80,0,147000
10289,79,168,156000
12243,70,0,175000
10800,60,0,160000
1526,21,0,86000
9490,79,0,133000
15578,105,0,172785
7931,70,0,155000
5784,50,0,91300
7879,60,0,34900
9120,60,0,184000
7800,65,89,130000
7535,70,0,120000
1890,21,285,113000
9803,75,0,226700
9170,70,0,140000
15602,100,0,289000
2308,24,0,147000
7596,60,360,124500
9554,80,125,215000
7862,75,0,208300
9600,60,0,161000
9600,80,132,124500
14559,75,70,164900
6792,40,94,202665
9100,70,0,129900
9187,71,0,134000
10594,55,0,96500
12220,94,305,402861
10208,79,921,265000
10918,53,0,234000
10800,60,0,106250
11988,90,0,150000
5000,50,0,159000
40094,130,762,184750
11787,95,594,315750
7500,62,0,176000
13300,70,0,132000
14948,67,268,446261
9098,58,0,86000
10200,85,219,175000
6155,60,0,128000
7200,60,0,107500
5000,50,0,39300
9056,74,0,178000
7000,70,0,107500
8924,57,0,188000
14601,85,584,315000
10140,78,0,213250
4058,34,182,133000
17104,58,0,179665
8737,70,0,210000
7244,54,0,129500
8235,49,0,125000
9375,75,0,263000
4043,53,0,140000
6000,50,0,112500
11146,87,250,255500
8777,67,0,108000
10625,85,292,284000
6380,58,0,113000
14850,69,0,141000
11040,60,0,108000
21872,57,0,175000
10010,77,0,170000
13907,63,0,108000
21780,66,0,185000
6858,66,0,128000
11198,77,245,325000
10171,70,168,214000
12327,79,0,316600
13101,74,108,142600
7332,60,207,120000
13159,83,0,224500
9967,76,0,170000
10500,70,82,139000
8480,80,0,118500
6292,52,0,145000
11777,96,97,164500
3604,34,0,146000
12150,81,335,131500
12704,98,306,253293
11841,81,104,118500
13500,75,0,325000
6120,51,0,133000
11443,88,208,369900
10267,55,0,130000
8740,74,0,137000
25095,65,0,143000
9100,50,0,79500
8320,64,0,185900
13478,97,420,451950
6600,60,0,138000
7990,88,0,110000
11302,69,238,319000
3600,60,0,114504
3922,53,72,194201
12984,80,459,217500
1950,24,0,151000
10927,74,280,275000
9000,50,0,141000
10041,80,0,220000
3182,30,0,151000
12803,88,99,221000
13600,85,176,205000
12464,82,0,152000
7800,78,0,225000
12168,78,0,359100
7943,61,192,118500
8402,70,0,147000
1491,21,0,75500
8800,80,156,137500
7227,59,0,105500
11694,90,452,314813
12244,85,226,305000
8248,45,0,67000
10800,90,0,240000
7064,71,153,135000
10400,80,288,165150
10000,87,261,160000
9600,80,164,153000
11606,70,192,135000
9020,82,259,168500
9000,50,0,124000
4590,34,108,209500
11900,85,209,82500
9250,80,0,139400
6979,64,0,144000
10896,60,0,200000
6120,51,0,60000
6000,50,0,93000
8777,67,0,85000
3982,53,0,264561
12677,62,472,274000
13860,75,0,345000
10793,80,263,152000
9187,85,162,370878
7200,60,0,98300
10452,85,216,155000
7700,70,351,155000
1936,21,0,84500
9084,60,0,108000
8750,70,0,191000
10320,60,0,135000
10437,91,660,350000
1680,21,381,88000
10007,72,54,145500
7200,60,0,149000
17503,78,0,97500
9937,75,0,167000
46589,52,528,402000
13560,120,216,110000
10012,90,0,137500
20896,49,0,423000
11194,106,40,230500
8125,65,258,193500
11600,80,0,137500
8633,64,0,173500
6629,54,0,103600
14442,110,106,257500
9200,80,0,140000
2289,24,0,148500
9600,60,0,87000
9022,52,0,109500
11844,80,464,372500
8012,50,0,143000
4500,55,0,159434
11248,90,215,285000
16770,58,30,221000
10207,84,0,227875
8089,60,0,392000
7577,61,256,194700
21535,104,1170,755000
26178,42,293,335000
5400,60,0,108480
6120,51,0,141500
13811,54,72,176000
6000,50,0,89000
6420,57,0,123500
8450,65,0,138500
4282,59,0,196000
14331,85,630,312500
9600,80,168,140000
12438,82,466,361919
7630,76,0,140000
8400,70,109,213000
5600,70,0,55000
6240,48,176,254000
9018,65,0,179540
4130,56,0,52000
8712,66,0,102776
4671,40,0,189000
9873,60,160,129000
10140,78,174,165000
10800,60,0,159500
10000,80,0,157000
10542,96,651,341000
9920,69,0,128500
8120,70,0,124500
8172,60,0,135000
13286,86,340,320000
6960,60,0,120500
7314,64,82,194500
11475,85,95,110000
6240,52,0,103000
5389,39,0,236500
9590,73,442,187500
11404,75,202,222500
10000,80,0,131400
10800,60,0,163000
8544,60,0,93500
10463,72,0,239900
10800,60,0,179000
9313,65,0,190000
9600,60,0,132000
6768,65,0,142000
8450,65,108,179000
12886,70,0,175000
5395,41,0,180000
11700,65,0,265979
10593,59,338,260400
8405,50,0,98000
8800,55,0,96500
9236,79,0,217000
10240,80,178,275500
7930,61,0,156000
3230,34,894,172500
10769,68,0,212000
2280,24,360,179400
12257,65,513,290000
9100,70,0,127500
6911,60,0,100000
8640,72,0,215200
9430,82,673,337000
9549,30,0,270000
14587,75,284,264132
10421,80,42,196500
12508,75,0,160000
9100,70,0,216837
53504,47,603,538000
8877,67,0,102000
7819,94,0,107000
10150,70,1,114500
14226,110,375,395000
4500,32,320,162000
11210,86,240,221500
13350,100,0,142500
8400,60,320,144000
10530,78,90,135000
7875,63,38,176000
7153,65,0,175900
16285,67,0,187100
6300,35,0,128000
10800,60,0,139000
10142,76,0,233000
6000,50,0,107900
3182,43,11,160200
9920,92,0,269790
9158,76,140,225000
8400,70,130,171000
8197,71,148,143500
7677,57,0,110000
13518,104,860,485000
7200,60,252,175000
12798,79,0,200000
4800,40,0,109900
8199,63,0,189000
13891,107,424,582933
9000,75,0,118000
12274,91,256,227680
9750,75,0,135500
21384,144,0,223500
13400,85,1047,159950
8100,90,0,106000
10140,78,99,181000
8712,66,0,55993
9750,75,243,157900
8248,45,0,116000
12137,48,442,224900
8816,80,80,155000
6371,44,128,224000
7226,72,0,183000
6000,60,0,93000
9900,60,0,139500
11216,81,0,232600
14803,114,816,385000
6130,50,0,109500
8529,65,0,189000
2544,24,0,147400
11900,80,387,166000
3180,30,0,151000
9548,44,223,237000
10004,100,180,167000
7875,75,136,139950
9600,60,0,128000
8100,90,0,153500
1680,21,158,100000
9525,75,0,144000
11767,70,0,130500
10440,60,0,157500
9020,82,183,174900
8000,80,0,141000
12665,100,0,153900
9317,75,137,213000
15523,36,0,133500
45600,75,0,240000
9600,80,360,187000
4435,36,170,131500
7128,53,0,164000
17920,102,0,170000
8125,65,0,174000
10400,80,189,152000
7642,55,0,189950
11625,75,0,131500
9672,81,0,152000
7931,70,0,132500
8640,72,0,250580
10656,67,274,248900
6970,85,0,129000
9938,80,246,236000
6600,60,0,109500
8750,70,116,200500
8892,74,0,116000
12144,60,0,133000
5720,52,0,66500
9000,75,0,303477
25286,94,0,132250
8834,74,216,350000
11782,88,0,148000
7024,60,0,157000
13758,44,117,187500
6204,60,0,118500
7150,65,60,100000
5119,50,60,328900
8393,70,122,145000
16466,59,0,135500
15865,95,0,268000
12160,128,90,149500
8064,60,0,122900
11184,70,92,172500
8414,70,0,154500
7018,64,0,118858
7056,71,415,140000
8765,50,0,106500
7018,64,0,142953
12919,100,760,611657
6993,65,0,135000
8712,64,0,153000
7875,63,0,180000
14859,50,27,240000
9920,80,110,128000
13501,116,208,255000
11500,86,0,250000
12589,149,0,174000
11600,80,361,154300
6120,51,0,88000
6270,82,0,145000
3000,30,76,173733
2001,21,80,75000
9000,50,0,35311
13125,103,0,238000
11029,87,0,176500
8462,70,105,201000
8777,67,0,145900
10237,65,0,169990
8012,50,0,193000
10240,79,157,207500
11999,93,340,285000
8925,73,0,201000
9100,70,0,117500
11670,84,302,320000
8487,63,210,190000
27650,313,0,242000
5825,52,108,79900
9675,75,0,253000
8760,73,0,239799
12640,55,0,150900
7711,42,0,150000
25000,100,0,143000
8820,98,0,124900
8163,70,128,143000
14536,85,236,270000
14006,65,144,192500
9360,78,0,197500
7200,60,0,129000
7800,60,0,119900
7200,60,0,133900
9400,35,250,127500
7136,82,423,145000
1300,24,0,124000
7420,70,0,132000
8450,65,0,185000
2572,24,0,155000
7207,50,0,116500
2308,24,0,155000
11923,122,0,239000
11316,80,44,214900
10237,65,0,178900
9600,130,0,160000
5925,50,0,37900
10382,75,105,140000
10800,60,0,135000
2268,36,106,173000
7892,55,0,99500
11414,60,0,167500
5900,51,0,85500
9450,68,0,110000
8816,80,0,139000
12203,98,975,336000
3182,43,16,159895
10125,75,0,126000
10880,68,0,125000
5310,59,0,117000
10159,83,450,395192
8125,65,0,197000
9452,82,423,348000
17671,121,0,168000
9760,80,340,187000
8846,68,0,173900
12456,96,230,337500
4712,51,0,121600
9786,60,0,91000
6762,64,24,206000
10206,74,0,82000
5400,60,0,86000
11957,75,53,232000
3182,43,16,181000
8385,65,220,149900
2217,21,0,88000
12118,43,108,240000
6000,60,0,102000
21286,115,0,135000
9825,75,0,100000
10592,55,0,165000
7200,60,0,85000
11664,60,206,119200
8400,70,0,227000
11883,73,196,203000
3013,43,145,213490
7024,60,0,176000
7406,64,84,194000
9439,52,0,87000
3182,43,14,191000
7700,70,0,112500
9300,73,324,167500
9520,71,338,293077
9492,79,0,105000
1680,21,281,118000
15863,102,0,197000
6305,50,0,119750
12898,89,70,315500
1533,21,0,97000
1477,21,0,80000
13125,88,67,155000
5381,34,135,196000
11839,86,99,262280
9600,80,0,278000
16056,85,208,556581
9245,57,0,145000
21750,100,75,115000
11100,60,0,84900
8993,73,0,176485
11175,103,0,200141
9500,100,272,165000
8562,68,145,144500
11367,90,210,255000
11361,104,160,180000
7052,43,240,185850
11308,96,154,335000
4920,41,0,213500
18000,120,0,81000
13600,85,0,90000
6000,50,0,110500
14000,80,0,328000
7837,59,0,178000
9760,80,360,167900
3964,42,0,151400
9600,60,0,135000
10152,72,120,135000
11700,78,0,154000
7585,50,0,91500
7950,75,140,159500
8556,74,0,194000
13125,75,0,219500
10800,60,0,170000
4435,37,169,155900
8775,65,0,126000
11040,80,144,145000
7500,75,0,133000
8749,70,100,192000
8800,80,425,160000
9069,73,0,147000
10574,85,0,252000
2522,24,50,137500
3316,37,0,197000
8544,60,0,92900
2160,24,212,160000
8400,60,0,136500
9230,71,166,146000
5868,74,0,129000
9317,78,0,176432
6882,60,0,127000
6000,50,0,128000
11880,82,206,157000
8400,60,0,60000
9758,61,0,119500
7000,70,45,135000
8910,79,0,159500
2016,24,304,106000
12256,98,362,325000
10357,114,0,179900
23257,168,0,274725
11362,107,42,280000
10480,80,660,205000
7100,73,0,129900
8923,66,0,134500
5400,90,0,117000
12085,93,328,318000
9764,57,0,130000
13825,85,0,140000
7560,70,0,133700
8263,59,0,118400
10084,84,196,212900
9405,50,0,118000
10434,60,0,115000
3684,53,130,174000
14572,182,0,259000
11796,59,0,215000
7200,60,180,140000
7804,65,0,135000
10712,63,0,93500
9900,90,0,117500
9828,80,0,239500
8773,57,0,169000
6180,60,0,102000
9600,80,0,119000
6342,54,0,94000
8731,98,0,144000
7350,60,0,139000
9965,77,340,424870
12180,60,0,80000
6240,52,0,149000
12000,75,0,174500
9000,50,0,143000
8280,57,0,124000
17755,134,132,149900
14115,90,0,230000
10768,90,0,218000
9350,85,0,179900
5001,34,166,230000
11932,92,186,235128
9120,76,270,185000
2280,24,0,146000
8724,109,0,129000
12900,60,0,108959
9541,79,268,233170
10475,64,72,245350
10852,58,0,173000
13728,120,0,235000
35760,118,1378,625000
9880,76,0,171000
9120,76,0,163000
4017,35,0,171900
18030,138,0,200500
16560,80,0,239000
10678,85,337,285000
6951,37,0,119500
7681,54,0,154900
8335,77,0,93000
5587,64,186,392500
15623,160,0,745000
10800,60,0,120000
35133,50,226,186700
9738,60,0,104900
10615,107,0,95000
12461,89,0,262000
8935,68,95,195000
7500,60,0,189000
2645,24,456,174000
9600,60,0,125000
9364,80,143,158000
8029,51,0,176000
14054,58,0,219210
8850,65,0,144000
9100,70,0,178000
11235,75,51,148000
9353,71,0,116050
10400,80,0,197900
6000,50,0,117000
9750,75,171,213000
10140,78,0,153500
14684,90,234,271900
9135,70,120,200000
7763,70,0,140000
10182,85,420,290000
11218,70,0,189000
12134,152,0,164000
9340,50,0,113000
10205,69,0,134500
7094,99,0,125000
8930,68,0,112000
8640,72,72,229456
6240,52,0,80500
1680,21,236,91500
7800,66,0,115000
8250,55,0,134000
10496,78,320,143000
10680,89,44,137900
15384,60,0,184000
10482,65,63,145000
14598,86,74,214000
8872,72,300,147000
8769,65,766,367294
7910,70,0,127000
7728,70,120,132500
9842,70,0,101800
8525,55,0,130000
13132,96,0,138887
2628,36,106,175500
12393,41,0,195000
13072,63,0,142500
9037,64,32,265900
8158,65,252,224900
9849,83,0,248328
10625,85,81,170000
12090,78,74,178000
8125,65,0,186500
9600,60,0,129500
7200,60,0,119000
11160,93,0,244000
9858,62,0,130000
6931,60,92,165400
6240,52,0,127500
14303,91,554,301500
4060,56,0,99900
9587,59,182,190000
9750,65,0,151000
9600,80,0,128900
13515,60,0,180500
4060,34,0,181000
3735,35,218,183900
10120,60,0,122000
13214,89,0,378500
11344,78,180,144000
11512,124,84,177000
5362,53,0,139000
11345,95,567,137000
7500,60,0,68400
9808,67,110,227000
8049,50,54,180000
8800,61,0,150500
9400,94,0,139000
9638,50,0,169000
6000,50,0,132500
5664,40,0,278000
11065,86,788,281000
1680,21,268,119500
6600,60,0,107500
10140,78,0,162900
8172,60,0,115000
8400,70,168,138500
8700,80,148,155000
3675,35,82,140000
63887,313,796,160000
7500,75,0,154000
10120,92,391,290000
8688,73,228,232000
3363,32,117,130000
13173,108,300,325000
6955,48,94,202500
8072,60,0,138000
12000,100,0,147000
17500,100,0,335000
8814,68,80,203000
14774,108,165,333168
8190,60,0,119000
11075,85,0,206900
10226,61,270,295493
4230,47,0,208900
10215,75,132,111000
8400,70,0,156500
10186,107,0,190000
5330,50,0,82500
9986,75,428,147000
3636,40,0,55000
4270,70,0,79000
6600,60,0,130500
10440,60,0,256000
9084,63,0,176500
10000,85,410,227000
10780,55,0,132500
8877,67,0,100000
7200,60,0,125500
2368,24,312,125000
9650,80,360,167900
9246,87,564,135000
4118,153,0,52500
13450,95,0,200000
9560,120,0,128500
8294,70,0,123000
13695,66,0,155000
7558,57,0,177000
11103,85,0,155835
6000,50,0,108500
15306,93,100,283463
5250,50,0,122000
11643,91,368,200000
9247,70,318,171000
6000,50,0,134900
14720,56,579,410000
10192,102,143,170000
16737,129,66,315000
9842,51,0,189000
16158,124,16,260000
8499,73,0,156932
3180,30,0,144152
9179,68,158,193000
2665,41,0,127000
10635,48,171,232000
5400,90,0,105000
9600,80,0,165500
9750,75,0,274300
10625,85,0,250000
10991,89,80,239000
6292,52,0,91000
10998,60,0,117000
1953,21,408,83000
9735,73,0,167500
8212,45,0,58500
7200,60,0,157000
9060,60,0,105000
5436,40,0,125500
16692,80,184,250000
8520,60,0,136000
14892,42,160,377500
6000,60,0,131000
9100,70,244,235000
8944,65,0,124000
7838,68,0,123000
10800,60,0,163000
4045,53,45,246578
12665,88,245,281213
6120,51,0,137500
7200,60,0,138000
6171,51,0,137450
6000,50,0,120000
7415,62,0,193000
6762,64,0,193879
15256,49,84,282922
10410,60,0,105000
3842,44,174,275000
8445,70,0,133000
7740,60,0,125500
20544,46,123,215000
12420,79,0,230000
9600,80,0,140000
7200,60,0,90000
10994,88,366,257000
13053,64,0,207000
3635,51,130,175900
11340,60,0,122500
9204,71,0,124000
11700,90,420,179900
4043,53,0,127500
4435,37,170,136500
10721,80,243,142000
10944,81,448,271000
10930,60,0,140000
7200,60,294,119000
21930,60,0,192140
10800,60,0,64500
10261,93,318,186500
17400,80,0,160000
8400,80,237,174000
9000,60,0,120500
12444,96,426,394617
7407,90,0,149700
11584,80,96,197000
11526,79,0,191000
11003,85,160,310000
8500,63,106,179600
8400,70,0,129000
10000,80,438,240000
11767,70,0,112000
1533,21,0,92000
9000,60,0,136000
9262,78,194,287090
3675,35,80,145000
17217,90,0,84500
7500,62,0,185000
7917,62,0,175000
13175,85,119,210000
9042,66,0,266500
9717,68,0,142125
9937,75,0,147500
